195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/logo-phone.png HTTP/1.1" 200 1996 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/divider.png HTTP/1.1" 200 939 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:16 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/Warner.png HTTP/1.1" 200 114363 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/yanport.gif HTTP/1.1" 200 6859 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/askia.png HTTP/1.1" 200 18575 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/sm-linkedin-icon.png HTTP/1.1" 200 1115 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/github-logo.png HTTP/1.1" 200 3347 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/mail-logo.png HTTP/1.1" 200 2088 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/position-logo.png HTTP/1.1" 200 1676 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/logo-phone.png HTTP/1.1" 200 1996 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/divider.png HTTP/1.1" 200 939 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:16 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/Warner.png HTTP/1.1" 200 114363 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/yanport.gif HTTP/1.1" 200 6859 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/askia.png HTTP/1.1" 200 18575 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/Warner.png HTTP/1.1" 200 114363 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/yanport.gif HTTP/1.1" 200 6859 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/askia.png HTTP/1.1" 200 18575 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/Warner.png HTTP/1.1" 200 114363 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/yanport.gif HTTP/1.1" 200 6859 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/askia.png HTTP/1.1" 200 18575 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/sm-linkedin-icon.png HTTP/1.1" 200 1115 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/github-logo.png HTTP/1.1" 200 3347 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/mail-logo.png HTTP/1.1" 200 2088 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/position-logo.png HTTP/1.1" 200 1676 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/logo-phone.png HTTP/1.1" 200 1996 "http://melvyn.pythonanywhere.com/static/style/css/base.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /static/img/divider.png HTTP/1.1" 200 939 "http://melvyn.pythonanywhere.com/static/style/css/about.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:15 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:16 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/Warner.png HTTP/1.1" 200 114363 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/yanport.gif HTTP/1.1" 200 6859 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/askia.png HTTP/1.1" 200 18575 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/blog.png HTTP/1.1" 200 359779 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/h2ces.png HTTP/1.1" 200 22074 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/currency_arbitrage.png HTTP/1.1" 200 58574 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/base.css HTTP/1.1" 200 722 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 2027 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/style/css/about.css HTTP/1.1" 200 978 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/melvyn_peignon.jpg HTTP/1.1" 200 19770 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/eisti-logo.png HTTP/1.1" 200 29113 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/logo.png HTTP/1.1" 200 10965 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/rey-logo.png HTTP/1.1" 200 7656 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
195.235.250.106 - - [25/Jul/2016:06:17:14 +0000] "GET /static/img/UCP-logo.png HTTP/1.1" 200 82900 "http://melvyn.pythonanywhere.com/about/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0" "195.235.250.106"
